SCHULNR	SUBNUM	ALTER1	NAT1	SUBNUMW1	SEXCODE1	LFNNR	GTAG1	GMON1	GJAHR1	SEX1	NATION1	HEIGHT1	WEIGHT1	AREAOFH	DISTROFH	AREAOFS	DISTROFS	TYPEOFS1	CLASS1	FRAGEBOG	VERSION	COHORT1	MZP1	POSTMA1	POSTMA2	POSTMA3	POSTMA4	POSTMA5	POSTMA6	POSTMA7	POSTMA8	POSTMA9	POSTMA10	POSTMA11	POSTMA12	BERUFS	BERUFI	PHYSS	PHYSI	PEERSS	PEERSI	ANSEXS	ANSEXI	BESTFS	BESTFI	TEAMPS	TEAMPI	LO1	LO2G1	LO3	LO4G2	LO5G3	LO6	LO7G4	LO8	LO9	LO10	LG5	LO11G6	LO12	LO13	LO14	LG7	LO15	LO16G8	LO17	LO18	LG9	LO19	LO20	LGR10	LO21G11	LO22	LO23	LO24G12	BESTFR	FRIOPSEX	PEERS	GIRLSIPG	BOYSIPG	REYK1	REYK2	REYK3	REYK4	REYK5	REYK6	REYK7	REYK8	REYK9	REYK10	REYK11	REYK12	REYK13	REYK14	REYK15	REYK16	REYK17	REYK18	REYK19	REYK20	REYK21	REYK22	REYK23	REYK24	REYK25	REYK26	REYK27	REYK28	REYK29	REYK30	PERENV1	PERENV2	PERENV3	PERENV4	PERENV5	PERENV6	PERENV7	PERENV8	PERENV9	PERENV10	PERENV11	PERENV12	PERENV13	PERENV14	PERENV15	PERENV16	PERENV17	PERENV18	PERENV19	PERENV20	PERENV21	PERENV22	PERENV23	PERENV24	PERENV25	PERENV26	PERENV27	PERENV28	PERENV29	PERENV30	PERENV31	PERENV32	PERENV33	PERENV34	PERENV35	PERENV36	PERENV37	PERENV38	PERENV39	PERENV40	PEERSRED	PEERSREC	PEERSAUD	PEERSAUC	PEERSCOC	PEERSCOD	PEERSAFC	PEERSAFD	PHYSRRED	PHYSRREC	PHYSRAUC	PHYSRAUD	PHYSRCOD	PHYSRCOC	PHYSRAFD	PHYSRAFC	BERUFRED	BERUFREC	BERUFAUC	BERUFAUD	BERUFCOD	BERUFCOC	BERUFAFC	BERUFAFD	ANSEXREC	ANSEXRED	ANSEXAUD	ANSEXAUC	ANSEXCOD	ANSEXCOC	ANSEXAFC	ANSEXAFD	BESTFRED	BESTFREC	BESTFAUC	BESTFAUD	BESTFCOD	BESTFCOC	BESTFAFC	BESTFAFD	TEAMPRED	TEAMPREC	TEAMPAUC	TEAMPAUD	TEAMPCOD	TEAMPCOC	TEAMPAFC	TEAMPAFD	SELFCO1	SELFCO2	SELFCO3	SELFCO4	SELFCO5	SELFCO6	SELFCO7	SELFCO8	SELFCO9	SELFCO10	SELFCO11	SELFCO12	SELFCO13	SELFCO14	SELFCO15	SELFCO16	SELFCO17	SELFCO18	SELFCO19	SELFCO20	SELFCO21	SELFCO22	SELFCO23	SELFCO24	QGEM1	QGEM2	QGEM3	QGEM4	QTOL1	QTOL2	QTOL3	QTOL4	QSCH1	QSCH2	QSCH3	QSCH4	LOCCON1	LOCCON2	LOCCON3	LOCCON4	LOCCON5	LOCCON6	LOCCON7	LOCCON8	LOCCON9	LOCCON10	ZIGGER	BIGETR	SCHNGETR	ZRHALK	MITMALK	M1GEN	M1BEK	M2GEN	M2BEK	M3GEN	M3BEK	HKENN	HKENGER	HWER	HSYMP	HSELBST	SKENN	SKENGEN	SWER	SSYMP	SSELBST	HEKENN	HEKENGEN	HEWER	HESYMP	HESELBST	HPEERS	HFETE	FUTZIG	FUTHASCH	FUTBIER	ZUVIELDR	PARSTYL1	PARSTYL2	PARSTYL3	PARSTYL4	PARSTYL5	PARSTYL6	PARSTYL7	PARSTYL8	WESELTO1	WESELTO2	WESELTO3	WESELTO4	WESELTO5	TRENFRO1	TRENFRO2	TRENFRO3	TRENFRO4	TRENFRO5	ERSTFRO1	ERSTFRO2	ERSTFRO3	ERSTFRO4	ERSTFRO5	UBAHNO1	UBAHNO2	UBAHNO3	UBAHNO4	UBAHNO5	STDTWEO1	STDTWEO2	STDTWEO3	STDTWEO4	STDTWEO5	ZWEIFRO1	ZWEIFRO2	ZWEIFRO3	ZWEIFRO4	ZWEIFRO5	KINOO1	KINOO2	KINOO3	KINOO4	KINOO5	NSCHULO1	NSCHULO2	NSCHULO3	NSCHULO4	NSCHULO5	STDTWEG1	STDTWEG2	STDTWEG3	STDTWEG4	STDTWEG5	UBAHNG1	UBAHNG2	UBAHNG3	UBAHNG4	UBAHNG5	NSCHULG1	NSCHULG2	NSCHULG3	NSCHULG4	NSCHULG5	WESELTG1	WESELTG2	WESELTG3	WESELTG4	WESELTG5	DEVIANC1	DEVIANC2	DEVIANC3	DEVIANC4	DEVIANC5	DEVIANC6	DEVIANC7	DEVIANC8	SOCDAT1	SOCDAT2	SOCDAT3	SOCDAT4	SOCDAT5	SOCDAT7	SOCDAT8	SOCDAT10	SOCDAT11	SOCDAT12	SOCDAT13	SOCDAT14	SOCDAT15	SOCDAT16	SOCDAT17	SOCDAT33	SOCDAT34	SOCDAT35	SOCDAT36	SOCDAT37	SOCDAT38	SOCDAT39	SOCDAT40	SOCDAT41	SOCDAT42	SOCDAT43	LSD
123	123201	11,8986995208761	0	123201	2	1	1	4	70	1	D	165	65	19	4	19	4	1	6	1	0	A	1	2	2	1	2	0	2	0	2	0	0	2	3	8	8	2	2	2	2	2	2	2	3	8	8	8	3	8	4	4	8	2	8	8	8	2	3	8	8	8	4	8	1	8	8	2	8	8	3	4	8	8	3	1	8	1	4	3	0	2	3	1	3	0	0	1	1	3	0	3	0	0	0	4	3	3	2	3	3	2	2	4	2	3	1	1	2	3	0	0	0	0	3	1	4	2	3	1	2	4	1	3	2	4	3	1	4	2	3	1	2	4	1	3	4	2	1	2	3	4	2	1	3	4	2	1	4	3	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	9	9	9	2	1	2	2	2	3	4	2	8	8	8	8	8	8	8	8	2	1	2	1	0	2	2	2	1	1	1	2	2	2	2	1	1	3	2	2	1	3	0	1	2	3	8	3	1	2	8	2	8	8	8	8	0	0	0	0	0	0	0	0	0	1	1	1	8	8	1	8	0	8	0	8	0	1	0	0	9	0	1	0	0	9	0	8	8	8	8	8	8	8	1	0	0	1	3	2	0	1	2	1	2	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	1	2	1	0	2	2	2	1	2	1	2	2	1	1	2	0	2	1	2	2	2	2	1	1	1	2	1	1	0	0	0	1	1	1	1	0	0	1	3	4	1	1	0	1	1	0	0	1	999	150	1	1	AAFFFFF
124	124101	11,8494182067077	2	124101	1	1	2	4	70	0	YU	153	40	16	3	16	3	1	6	1	0	A	1	3	0	1	2	3	2	3	3	0	2	2	3	8	8	1	1	2	2	8	8	2	3	2	2	8	3	8	2	4	8	2	8	8	8	3	3	8	8	8	4	8	2	8	8	2	8	8	3	4	8	8	3	0	8	1	3	8	0	4	2	2	3	2	0	2	0	2	0	2	0	0	0	2	2	2	3	2	2	1	3	3	3	2	1	2	2	2	0	0	0	3	3	1	2	4	3	4	2	1	3	1	2	4	3	2	4	1	3	1	4	2	3	1	2	4	3	2	4	1	3	2	1	4	2	3	1	4	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	1	2	2	2	1	2	2	1	1	3	3	1	2	3	3	1	2	2	1	2	2	2	1	2	2	1	1	1	2	2	1	1	1	2	2	2	1	2	1	2	2	2	2	8	3	3	2	8	8	8	8	8	1	0	1	0	1	0	0	0	0	0	1	3	8	8	1	8	2	8	0	8	0	1	0	0	9	0	1	0	0	9	0	8	8	8	8	8	8	8	0	0	0	0	2	1	9	1	3	2	3	3	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	1	1	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	0	0	0	1	0	0	0	0	1	0	3	4	1	1	0	0	1	0	0	2	999	9999	1	0	AAAAAAA
124	124102	11,7207392197124	0	124102	1	2	1	1	71	0	D	146	45	16	3	16	3	1	6	1	0	A	1	3	1	1	2	0	1	1	2	0	0	2	2	8	8	1	1	3	2	8	8	3	2	3	2	8	2	8	2	4	8	1	8	8	8	3	2	8	8	8	3	8	2	8	8	3	8	8	1	4	8	8	3	1	8	1	0	2	0	3	2	1	4	2	1	0	3	2	0	2	1	2	0	1	2	3	0	4	2	1	4	3	1	3	1	2	2	0	0	0	1	2	3	1	2	4	3	2	1	4	3	1	2	4	3	4	2	1	3	1	2	4	3	1	4	2	4	1	3	2	2	3	4	1	3	2	4	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	1	2	1	3	2	1	1	0	0	3	1	3	1	2	3	1	2	0	2	1	1	2	2	2	3	0	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	1	8	3	3	2	8	8	8	8	8	0	1	1	1	1	0	1	1	0	1	0	1	8	8	1	8	0	8	0	8	0	0	0	0	9	0	0	0	0	9	0	8	8	8	8	8	8	8	0	0	0	0	3	2	3	3	3	3	2	3	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	1	2	2	1	2	1	3	2	2	1	2	2	1	1	3	0	1	2	2	1	1	2	1	2	0	1	1	1	0	0	0	1	1	0	0	1	0	0	1	3	4	0	1	0	1	1	1	0	1	999	300	1	0	AFFFFFF
124	124103	11,6167008898014	0	124103	1	3	2	1	71	0	D	150	30	16	3	16	3	1	6	1	0	A	1	3	3	1	2	3	0	3	2	0	3	2	3	8	8	1	1	3	3	8	8	3	3	1	1	8	2	8	2	3	8	4	8	8	8	1	1	8	8	8	3	8	0	8	8	4	8	8	1	3	8	8	2	1	8	1	2	2	4	4	2	0	4	4	0	0	0	2	0	2	0	0	0	4	4	4	4	2	4	2	4	4	4	0	0	0	2	0	0	0	0	0	3	1	2	4	3	1	2	4	3	1	2	4	2	4	3	1	3	1	2	4	3	2	1	4	2	3	1	4	2	3	1	4	2	1	3	4	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	4	4	0	0	2	4	0	4	4	4	0	3	0	0	1	0	2	2	9	2	3	2	0	0	0	9	1	2	3	3	2	2	3	0	3	9	9	2	8	3	3	9	8	8	8	8	8	1	0	1	1	1	1	0	1	1	0	1	0	8	8	2	8	1	8	0	8	0	1	1	0	0	0	1	0	0	9	0	8	8	8	8	8	8	8	2	0	0	0	2	0	2	3	2	2	1	3	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	3	3	0	1	0	3	0	2	2	3	3	1	2	3	0	0	2	2	0	0	2	3	0	0	0	3	1	1	0	0	0	1	0	0	1	1	0	1	5	1	0	1	0	1	1	0	0	1	999	120	1	0	AAAAAAA
124	124201	12,0739219712526	0	124201	2	1	3	3	70	1	D	166	45	79	11	16	3	1	6	1	0	A	1	3	1	1	3	0	2	1	1	0	1	3	3	8	8	1	2	3	2	2	2	3	3	8	8	8	2	8	2	2	8	2	8	8	8	3	1	8	8	8	3	8	3	8	8	3	8	8	1	9	8	8	1	1	8	1	2	0	0	3	2	2	3	3	9	2	2	3	0	2	0	0	1	4	3	4	4	2	2	3	4	0	4	1	2	2	2	0	0	0	2	0	3	1	2	4	3	1	2	4	3	1	2	4	4	2	1	3	3	1	2	4	3	1	2	4	1	3	2	4	2	4	3	1	2	1	3	4	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	3	1	2	3	3	2	2	2	1	3	3	2	3	2	2	2	8	8	8	8	8	8	8	8	2	1	3	1	1	2	0	2	2	2	1	2	3	2	2	0	2	3	1	2	3	1	2	3	2	0	8	2	3	1	8	2	8	8	8	8	1	1	0	1	1	1	1	1	1	0	0	1	8	8	1	8	0	8	0	8	1	0	9	0	9	9	0	9	0	9	9	8	8	8	8	8	8	8	0	0	0	1	1	2	2	2	2	1	3	3	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	3	1	1	3	3	0	3	0	1	3	1	1	0	2	2	0	0	0	3	3	1	1	0	1	0	0	0	1	1	0	0	9	1	9	1	0	0	0	0	5	4	0	1	0	0	1	0	0	1	999	70	1	1	AAAAAAA
124	124202	11,9397672826831	0	124202	2	2	2	4	70	1	D	145	35	79	11	16	3	1	6	1	0	A	1	3	0	1	2	0	2	1	1	0	1	2	3	8	8	1	1	3	2	2	1	3	3	8	8	8	3	8	2	2	8	1	8	8	8	2	1	8	8	8	4	8	2	8	8	3	8	8	9	9	8	8	4	1	8	1	2	0	3	3	2	9	4	0	1	1	1	0	0	2	0	0	0	2	2	3	4	2	2	1	4	3	4	0	3	1	2	2	0	0	2	0	3	1	2	4	3	1	2	4	3	1	2	4	3	1	2	4	4	2	1	3	3	2	4	1	1	3	2	4	3	2	1	4	2	1	3	4	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	0	2	3	2	2	4	1	4	3	4	0	3	4	4	0	8	8	8	8	8	8	8	8	1	1	2	2	2	2	1	1	1	1	1	1	2	2	2	1	1	2	2	3	3	2	1	1	3	3	8	3	2	2	8	2	8	8	8	8	1	1	1	0	1	1	1	1	1	1	0	0	8	8	1	8	0	8	0	8	0	1	0	0	9	0	0	9	0	9	9	8	8	8	8	8	8	8	0	0	0	0	3	2	2	2	2	2	2	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	2	1	3	1	1	2	2	2	2	1	1	1	1	1	1	1	0	1	2	2	1	1	2	1	1	0	0	0	1	9	0	0	0	1	1	6	4	0	1	0	1	9	1	0	1	40	9999	1	999	AAAAFAF
124	124203	12,0958247775496	0	124203	2	3	2	3	70	1	D	158	38	17	3	16	3	1	6	1	0	A	1	3	1	2	3	1	3	3	2	2	2	3	3	8	8	2	1	2	2	2	1	3	3	8	8	8	3	8	1	1	8	2	8	8	8	3	1	8	8	8	0	8	0	8	8	1	8	8	0	9	8	8	1	1	8	0	99	99	1	4	2	2	2	4	0	0	0	1	0	2	0	0	0	2	3	3	2	3	4	3	3	3	4	0	1	0	2	1	0	0	1	2	3	1	2	4	3	2	1	4	3	1	2	4	2	3	4	1	3	1	4	2	3	1	2	4	3	4	1	2	3	1	2	4	4	2	1	3	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	3	0	1	3	1	3	1	1	2	4	2	2	3	4	2	0	8	8	8	8	8	8	8	8	1	1	2	1	0	2	2	2	2	3	2	2	1	2	2	0	2	2	1	2	2	1	1	3	2	2	8	2	2	2	8	2	8	8	8	8	0	1	1	1	1	0	0	0	1	0	0	1	8	8	1	8	2	8	0	8	0	1	0	0	9	0	1	0	0	9	0	8	8	8	8	8	8	8	1	0	1	0	2	2	2	3	4	2	3	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	1	1	2	2	1	1	2	2	2	1	2	2	2	2	2	1	2	1	3	2	1	1	3	2	2	0	1	2	1	1	0	0	0	1	0	0	0	1	0	1	6	4	1	0	0	1	1	1	1	2	100	9999	1	4	AAFFFFF
124	124204	14,1464750171115	1	124204	2	4	1	3	68	1	TR	155	47	16	3	16	3	1	6	1	0	A	1	0	1	3	3	0	3	3	1	2	2	3	2	8	8	1	2	3	1	2	1	3	1	8	8	8	1	8	2	2	8	1	8	8	8	2	1	8	8	8	3	8	2	8	8	3	8	8	4	9	8	8	2	0	8	0	99	99	0	2	3	0	3	0	1	2	0	4	0	2	1	0	2	2	2	3	3	2	2	1	4	4	2	0	1	1	2	0	1	0	0	1	1	3	2	4	3	1	4	2	3	2	4	1	1	2	3	4	3	1	9	9	3	1	2	4	2	3	1	4	2	3	1	4	1	2	3	4	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	3	1	3	1	2	1	3	1	2	3	4	1	2	3	4	0	8	8	8	8	8	8	8	8	2	0	3	1	1	3	2	1	3	3	1	0	1	0	3	0	3	3	0	1	2	1	0	3	3	2	8	3	3	3	8	2	8	8	8	8	1	1	1	1	1	0	1	1	1	0	0	0	8	8	1	8	0	8	0	8	0	1	9	0	9	0	0	9	0	9	9	8	8	8	8	8	8	8	1	0	0	0	0	0	2	3	2	0	1	3	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	1	2	2	3	1	2	3	1	3	2	1	2	2	1	0	0	1	1	3	2	0	3	3	3	0	1	2	2	1	9	9	9	1	1	9	0	0	2	1	0	4	9	0	9	9	9	9	9	0	2	999	190	1	6	AAAFAAA
124	124205	11,6030116358658	1	124205	2	5	2	1	71	1	TR	152	35	16	3	16	3	1	6	1	0	A	1	2	2	0	3	0	0	3	1	1	2	3	2	8	8	1	1	3	1	1	1	3	2	8	8	8	2	8	0	2	8	1	8	8	8	2	2	8	8	8	2	8	3	8	8	1	8	8	2	9	8	8	4	1	8	0	99	99	2	4	2	3	4	4	3	0	2	2	1	2	1	0	0	1	0	2	3	3	2	1	3	4	0	2	0	2	1	1	0	0	1	0	1	3	2	4	3	1	2	4	2	3	1	4	2	3	1	4	3	1	2	4	2	1	3	4	3	2	1	4	2	3	1	4	9	9	9	9	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	4	0	0	9	1	4	3	2	4	2	2	2	3	1	8	8	8	8	8	8	8	8	1	0	3	1	1	2	1	1	1	2	0	1	1	1	0	1	3	3	3	2	2	1	0	2	2	2	8	1	3	3	8	2	8	8	8	8	0	1	0	1	1	0	1	0	0	0	0	2	8	8	0	8	0	8	0	8	0	0	9	0	9	9	0	9	0	9	9	8	8	8	8	8	8	8	0	0	0	0	1	1	1	3	9	1	2	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	1	3	3	1	3	3	3	2	2	2	3	1	2	1	1	2	3	2	2	1	3	3	2	1	2	1	3	1	1	0	0	0	1	9	1	0	0	0	1	3	2	0	1	0	1	1	0	1	3	50	9999	1	3	AAFFFFF
124	124206	12,2162902121834	2	124206	2	6	1	3	70	1	YU	160	45	16	3	16	3	1	6	1	0	A	1	2	3	2	3	3	3	3	3	9	1	2	3	8	8	2	2	2	2	2	1	3	2	8	8	8	3	8	2	4	8	2	8	8	8	3	3	8	8	8	4	8	3	8	8	3	8	8	0	2	8	8	3	1	8	0	99	99	2	4	4	3	4	4	2	0	0	1	0	2	0	0	0	3	2	4	2	3	3	2	4	3	3	0	2	3	2	3	2	1	0	3	3	1	2	4	3	1	2	4	3	1	2	4	3	1	2	4	3	1	2	4	3	1	2	4	3	1	2	4	2	3	4	1	1	2	3	4	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	4	0	4	2	4	2	4	2	4	2	3	3	3	3	4	1	8	8	8	8	8	8	8	8	3	0	3	0	3	3	1	1	3	3	0	3	3	3	2	0	3	3	2	3	3	2	2	3	3	3	8	1	3	3	8	1	8	8	8	8	0	1	1	0	1	1	0	0	1	1	0	1	8	8	1	8	0	8	0	8	0	1	0	0	0	0	0	9	0	9	9	8	8	8	8	8	8	8	0	0	0	0	3	2	0	3	4	2	1	3	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	3	3	2	1	2	2	2	3	3	3	3	3	2	2	3	3	2	2	2	3	3	0	2	1	1	0	1	3	1	1	0	0	0	1	0	1	1	1	9	1	7	3	0	1	0	1	1	1	1	2	25	9999	1	5	AAAFAFF
124	124207	11,6386036960985	0	124207	2	7	1	1	71	1	D	153	39	16	3	16	3	1	6	1	0	A	1	2	3	2	3	0	1	3	2	1	3	3	3	8	8	2	1	2	3	2	1	3	3	8	8	8	2	8	3	4	8	2	8	8	8	2	3	8	8	8	4	8	2	8	8	3	8	8	1	4	8	8	2	1	8	0	99	99	0	4	2	2	4	4	2	0	0	0	0	2	0	0	0	4	2	4	2	4	4	2	4	4	4	0	4	2	2	2	1	0	0	3	3	1	2	4	3	1	2	4	3	1	2	4	3	1	2	4	3	1	2	4	3	1	2	4	2	1	3	4	2	1	3	4	2	3	1	4	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	4	2	4	2	2	2	2	4	4	2	3	4	2	0	4	0	8	8	8	8	8	8	8	8	3	0	3	1	3	3	0	1	3	3	0	2	3	3	2	0	3	3	2	3	3	1	0	3	0	3	8	1	3	2	8	1	8	8	8	8	0	1	1	1	1	1	0	0	1	0	0	0	8	8	1	8	0	8	0	8	0	1	0	0	0	0	0	9	0	9	9	8	8	8	8	8	8	8	0	0	1	0	2	1	3	3	4	0	1	3	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	3	3	2	1	1	2	0	3	0	3	2	2	2	1	3	3	3	2	3	1	3	0	2	0	1	0	0	3	1	0	0	0	0	1	9	1	0	0	1	1	7	2	0	1	0	1	1	0	1	1	25	9999	1	0	AAAAFFF
125	125101	99,99	0	125101	1	1	9	9	99	0	D	145	70	6	2	6	2	1	6	1	0	A	1	2	1	3	2	0	3	3	1	1	2	3	2	8	8	1	1	3	2	8	8	3	3	3	2	8	2	8	2	3	8	2	8	8	8	1	4	8	8	8	2	8	1	8	8	3	8	8	4	2	8	8	4	1	8	1	99	99	0	3	1	3	4	0	0	0	0	1	0	1	0	0	0	3	2	3	4	1	0	2	4	4	4	1	1	0	3	3	2	2	1	0	3	2	1	4	3	1	2	4	3	2	1	4	2	3	1	4	1	2	3	4	2	3	1	4	2	4	1	3	2	1	4	3	2	1	4	3	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	3	2	1	3	0	2	2	0	0	3	4	0	1	4	4	0	2	1	2	1	0	1	1	1	2	1	3	2	2	3	1	2	0	2	0	3	2	1	3	0	3	3	3	8	3	3	2	8	8	8	8	8	0	0	0	0	0	0	0	0	0	0	0	1	8	8	0	8	0	8	0	8	0	1	0	0	9	9	1	0	0	9	9	8	8	8	8	8	8	8	0	0	0	0	1	1	9	9	9	9	2	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	3	1	1	0	1	3	3	3	3	2	2	2	2	1	0	3	3	3	2	2	1	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	3	1	1	0	0	9	1	9	1	999	9999	1	4	AFFFFFF
125	125102	11,7344284736481	0	125102	1	2	3	1	71	0	D	150	29	6	2	6	2	1	6	1	0	A	1	2	0	0	2	0	1	0	3	0	0	1	3	8	8	1	1	1	2	8	8	3	3	2	1	8	2	8	2	2	8	2	8	8	8	2	2	8	8	8	3	8	2	8	8	3	8	8	2	2	8	8	2	1	8	0	99	99	0	2	2	2	4	2	2	4	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	4	3	1	2	4	3	1	2	4	3	1	2	4	3	1	2	4	3	1	2	4	3	2	1	4	3	1	2	3	4	2	1	3	4	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	2	2	2	2	2	2	2	2	4	4	2	2	2	1	1	0	0	1	3	1	2	3	2	2	2	3	9	2	2	2	2	2	2	2	2	2	3	0	8	2	3	0	8	8	8	8	8	1	0	1	1	1	1	0	1	1	1	3	4	8	8	1	8	0	8	0	8	0	1	0	0	9	0	0	0	0	9	0	8	8	8	8	8	8	8	2	2	2	0	1	2	2	1	2	1	2	3	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	1	1	0	0	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	2	2	2	2	0	1	2	1	1	0	0	0	1	0	0	0	1	0	1	3	3	0	0	0	1	1	0	0	3	25	9999	0	0	AFAFAFF
125	125103	11,4031485284051	0	125103	1	3	3	2	71	0	D	140	31	6	2	6	2	1	6	1	0	A	1	3	1	3	3	0	2	3	2	0	0	3	3	8	8	1	1	2	2	8	8	3	3	2	2	8	2	8	2	3	8	2	8	8	8	0	4	8	8	8	4	8	3	8	8	3	8	8	4	4	8	8	4	1	8	0	99	99	0	4	2	0	2	4	0	3	0	1	0	1	0	0	0	3	2	3	4	3	2	3	4	4	3	0	1	2	1	0	0	0	0	0	3	1	2	4	3	2	1	4	3	1	2	4	3	1	2	4	3	2	1	4	3	1	2	4	3	2	1	4	2	3	1	4	2	1	3	4	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	1	2	0	0	0	2	0	0	0	2	2	3	3	2	2	3	9	9	9	9	0	1	0	0	3	0	3	3	2	1	0	3	0	2	3	1	1	2	0	1	0	0	0	8	1	1	1	8	8	8	8	8	0	0	0	0	0	0	0	0	0	0	1	1	8	8	0	8	0	8	0	8	0	1	0	0	9	0	1	0	0	9	0	8	8	8	8	8	8	8	0	0	0	0	2	1	2	2	3	3	0	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	0	1	0	3	2	3	3	3	3	3	3	1	2	3	2	3	1	1	3	2	0	0	1	2	2	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	3	5	0	1	0	0	9	0	0	2	999	200	1	0	AAAAAAF
